price,gender,movement,case_material_category,brand_country,brand_age,warranty_period,dial_color,strap_material,collection_popularity,water_resistance_meters,case_diameter_mm,brand_prestige_level
122000.0,male,automatic,steel,switzerland,192.0,5.0,black,rubber,36.0,100.0,39.0,2
826800.0,female,quartz,gold,switzerland,44.0,2.0,blue,rubber,45.0,50.0,29.0,4
464200.0,male,automatic,steel,italy,164.0,8.0,black,rubber,21.0,300.0,42.0,4
215800.0,male,automatic,steel,switzerland,171.0,2.0,green,stainless_steel,50.0,300.0,42.0,3
252200.0,female,automatic,steel,switzerland,140.0,2.0,black,rubber,15.0,300.0,42.0,3
95000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,49.0,300.0,43.0,2
159000.0,female,automatic,gold,switzerland,192.0,5.0,green,stainless_steel,57.0,100.0,34.0,2
262600.0,male,automatic,steel,switzerland,140.0,2.0,blue,stainless_steel,15.0,300.0,42.0,3
670800.0,female,automatic,steel,switzerland,44.0,2.0,white,rubber,43.0,100.0,33.0,4
159000.0,male,automatic,steel,switzerland,192.0,5.0,red,crocodile,54.0,50.0,40.0,2
425900.0,male,automatic,steel,italy,164.0,8.0,blue,crocodile,37.0,300.0,44.0,4
358300.0,male,automatic,gold,switzerland,194.0,2.0,white,crocodile,16.0,50.0,39.0,2
114400.0,female,quartz,steel,switzerland,171.0,2.0,blue,stainless_steel,3.0,100.0,32.0,3
478600.0,male,automatic,steel,italy,164.0,8.0,green,stainless_steel,37.0,100.0,40.0,4
64000.0,female,quartz,gold,switzerland,192.0,2.0,silver,steel_gold,57.0,50.0,30.0,2
291200.0,male,automatic,steel,switzerland,140.0,5.0,green,stainless_steel,10.0,100.0,38.0,3
174200.0,male,quartz,carbon,switzerland,140.0,2.0,black,rubber,15.0,100.0,44.0,3
162300.0,unisex,automatic,titanium,switzerland,194.0,8.0,grey,rubber,45.0,100.0,39.0,2
292000.0,male,automatic,steel,italy,164.0,8.0,white,crocodile,14.0,50.0,40.0,4
873000.0,male,manual,steel,switzerland,176.0,5.0,black,stainless_steel,25.0,50.0,43.0,4
